,#effective,C_prob,init_0010,init_0101,init_1011,init_0111,init_1111,init_1110,init_1101,init_0110,init_1010,init_0100,init_1000,init_0000,init_0001,init_0011,init_1100,init_1001
0,0,0.00390625,0.045283018867924525,0.03600189483657035,0.021889400921658985,0.021593830334190232,0.010399100618324901,0.025205761316872428,0.023395320935812838,0.03818953323903819,0.039705882352941174,0.047520661157024795,0.05017725661303518,0.06659491457016009,0.04478849875587503,0.03596187175043328,0.03833470733718054,0.028306264501160094
1,1,0.03125,0.14629898403483307,0.10137375651350072,0.08467741935483869,0.07969151670951156,0.04581225407532321,0.10442386831275721,0.08578284343131373,0.11456859971711456,0.12205882352941178,0.1590909090909091,0.1606217616580311,0.17247410197766713,0.14100082941664363,0.09965337954939342,0.11912613355317393,0.11740139211136891
2,2,0.109375,0.2130624092888244,0.1937470393178588,0.17108294930875578,0.16143958868894595,0.09527824620573355,0.18775720164609053,0.17756448710257952,0.1970768505421971,0.19607843137254902,0.21664698937426205,0.22252522497954735,0.24297053679537206,0.20541885540503174,0.19064124783362216,0.20651277823577904,0.19489559164733172
3,3,0.21875,0.23309143686502176,0.24585504500236857,0.19354838709677427,0.197943444730077,0.13631253513209665,0.20781893004115223,0.22195560887822433,0.23998114097124,0.26029411764705884,0.22373081463990557,0.21298063812380694,0.22036862639580257,0.22477191042300268,0.23440207972270366,0.2361912613355317,0.2468677494199536
4,4,0.2734375,0.18461538461538465,0.17432496447181423,0.19124423963133644,0.18971722365038549,0.1543001686340641,0.1887860082304527,0.1799640071985602,0.19189061763319182,0.18137254901960764,0.19332939787485248,0.18216525770384503,0.15955872460648463,0.19270113353607984,0.1858752166377817,0.19084913437757614,0.19164733178654283
5,5,0.21875,0.10507982583454277,0.1430601610611085,0.15207373271889402,0.1475578406169665,0.14839797639123103,0.13323045267489714,0.14217156568686268,0.1282413955681282,0.11372549019607836,0.1036009445100354,0.10335424052358873,0.08421902327458632,0.10699474702792379,0.1317157712305026,0.11624072547403125,0.12529002320185614
6,6,0.109375,0.04905660377358491,0.06821411653244909,0.0990783410138249,0.09408740359897169,0.12619449128724,0.08539094650205759,0.08758248350329936,0.055634134842055635,0.05637254901960784,0.03925619834710744,0.047450231797109374,0.03618996367550115,0.05557091512303015,0.06152512998266897,0.06141797197032152,0.05568445475638051
7,7,0.03125,0.018867924528301886,0.027001421127427757,0.051267281105990783,0.0622107969151671,0.12169758291174818,0.04423868312757202,0.04799040191961608,0.02498821310702499,0.024019607843137253,0.011806375442739079,0.01636214889555495,0.01412619399973093,0.02045894387614045,0.03899480069324089,0.021434460016488046,0.022737819025522042
8,8,0.00390625,0.0046444121915820025,0.010421601136901942,0.03513824884792627,0.04575835475578406,0.16160764474423833,0.023148148148148147,0.033593281343731254,0.00942951438000943,0.006372549019607843,0.005017709563164109,0.00436323970548132,0.003497914704695278,0.008294166436273155,0.02123050259965338,0.00989282769991756,0.01716937354988399
